Date,Count
2010/11/13,0.0381
2010/11/14,0.0381
2010/11/15,0.232
2010/11/16,0.0761
2010/11/17,0.0444
2010/11/18,0.0476
2010/11/19,0.0634
2010/11/20,0.0571
2010/11/21,0.0381
2010/11/22,0.0285
2010/11/23,0.0603
2010/11/24,0.0634
2010/11/25,null
2010/11/26,0.133
2010/11/27,0.0761
2010/11/28,0.0381
2010/11/29,0.0888
2010/11/30,0.133
2010/12/01,0.0888
2010/12/02,0.0603
2010/12/03,0.0793
2010/12/04,0.0761
2010/12/05,0.0729
2010/12/06,0.0285
2010/12/07,0.105
2010/12/08,0.171
2010/12/09,0.0761
2010/12/10,0.0634
2010/12/11,0.0571
2010/12/12,0.317
2010/12/13,0.222
2010/12/14,0.0444
2010/12/15,0.108
2010/12/16,0.092
2010/12/17,0.0476
2010/12/18,0.0983
2010/12/19,0.213
2010/12/20,0.092
2010/12/21,0.0793
2010/12/22,0.0476
2010/12/23,0.206
2010/12/24,0.143
2010/12/25,0.0952
2010/12/26,0.149
2010/12/27,0.0507
2010/12/28,0.0507
2010/12/29,0.0666
2010/12/30,0.121
2010/12/31,0.0603
2011/01/01,0.0427
2011/01/02,0.0381
2011/01/03,0.0863
2011/01/04,0.0717
2011/01/05,0.0517
2011/01/06,0.135
2011/01/07,0.15
2011/01/08,0.0365
2011/01/09,0.126
2011/01/10,0.0996
2011/01/11,0.0552
2011/01/12,0.0565
2011/01/13,0.0831
2011/01/14,0.0717
2011/01/15,0.0539
2011/01/16,0.027
2011/01/17,0.0479
2011/01/18,0.0758
2011/01/19,0.0758
2011/01/20,0.0837
2011/01/21,0.129
2011/01/22,0.11
2011/01/23,0.066
2011/01/24,0.0752
2011/01/25,0.0422
2011/01/26,0.098
2011/01/27,0.0565
2011/01/28,0.107
2011/01/29,0.0848
2011/01/30,0.0753
2011/01/31,0.0468
2011/02/01,0.0545
2011/02/02,0.0682
2011/02/03,0.0273
2011/02/04,0.109
2011/02/05,0.0682
