Date,Count
2014/04/09,8193
2014/04/10,15039
2014/04/11,14907
2014/04/12,7582
2014/04/13,10674
2014/04/14,13266
2014/04/15,14835
2014/04/16,15790
2014/04/17,15215
2014/04/18,14028
2014/04/19,12337
2014/04/20,12139
2014/04/21,14244
2014/04/22,16098
2014/04/23,16232
2014/04/24,15471
2014/04/25,15255
2014/04/26,12283
2014/04/27,11667
2014/04/28,15969
2014/04/29,16706
2014/04/30,17588
2014/05/01,16988
2014/05/02,20057
2014/05/03,12910
2014/05/04,12716
2014/05/05,21273
2014/05/06,16806
2014/05/07,16970
2014/05/08,21518
2014/05/09,17442
2014/05/10,14225
2014/05/11,13469
2014/05/12,15910
2014/05/13,16935
2014/05/14,18167
2014/05/15,32817
2014/05/16,14474
2014/05/17,14587
2014/05/18,12892
2014/05/19,13595
2014/05/20,21515
2014/05/21,20254
2014/05/22,20217
2014/05/23,19485
2014/05/24,13630
2014/05/25,13823
2014/05/26,14792
2014/05/27,19718
2014/05/28,18545
2014/05/29,17571
2014/05/30,21731
2014/05/31,12882
2014/06/01,12849
2014/06/02,16427
2014/06/03,17858
2014/06/04,18010
2014/06/05,18707
2014/06/06,16611
2014/06/07,12557
2014/06/08,12134
2014/06/09,14497
2014/06/10,16631
2014/06/11,19356
2014/06/12,19092
2014/06/13,19128
2014/06/14,16078
2014/06/15,15810
2014/06/16,18430
2014/06/17,18560
2014/06/18,15957
2014/06/19,17605
2014/06/20,17459
2014/06/21,15113
2014/06/22,13838
2014/06/23,16325
2014/06/24,17005
2014/06/25,17683
2014/06/26,17534
2014/06/27,17587
2014/06/28,15236
2014/06/29,15482
2014/06/30,19860
2014/07/01,20443
2014/07/02,21375
2014/07/03,22046
2014/07/04,22659
2014/07/05,16997
2014/07/06,17331
2014/07/07,22248
2014/07/08,24425
2014/07/09,24542
2014/07/10,23242
2014/07/11,20939
2014/07/12,16719
2014/07/13,16133
2014/07/14,20287
2014/07/15,25031
2014/07/16,21984
2014/07/17,23305
2014/07/18,25897
2014/07/19,20261
2014/07/20,16827
2014/07/21,18501
2014/07/22,18386
2014/07/23,20612
2014/07/24,20448
2014/07/25,19971
2014/07/26,16000
2014/07/27,15621
2014/07/28,23384
2014/07/29,21797
2014/07/30,22092
2014/07/31,22160
2014/08/01,21585
2014/08/02,18531
2014/08/03,17187
2014/08/04,20609
2014/08/05,21073
2014/08/06,22471
2014/08/07,24516
2014/08/08,23126
2014/08/09,21820
2014/08/10,20814
2014/08/11,21388
2014/08/12,22551
2014/08/13,23725
2014/08/14,24887
2014/08/15,22725
2014/08/16,23487
2014/08/17,22608
2014/08/18,21867
2014/08/19,24106
2014/08/20,26924
2014/08/21,22176
2014/08/22,21222
2014/08/23,17389
2014/08/24,16318
2014/08/25,19062
2014/08/26,19596
2014/08/27,19625
2014/08/28,22229
2014/08/29,19838
2014/08/30,18905
2014/08/31,17226
2014/09/01,18661
2014/09/02,22901
2014/09/03,22113
2014/09/04,24968
2014/09/05,22368
2014/09/06,21053
2014/09/07,17730
2014/09/08,22751
2014/09/09,16169
2014/09/10,16616
2014/09/11,27367
2014/09/12,24097
2014/09/13,18209
2014/09/14,18671
2014/09/15,23392
2014/09/16,21176
2014/09/17,27946
2014/09/18,21135
2014/09/19,20775
2014/09/20,17607
2014/09/21,17026
2014/09/22,14984
2014/09/23,23489
2014/09/24,20675
2014/09/25,20757
2014/09/26,19512
2014/09/27,17202
2014/09/28,16636
2014/09/29,19660
2014/09/30,21073
2014/10/01,18636
2014/10/02,18380
2014/10/03,20207
2014/10/04,18214
2014/10/05,20031
2014/10/06,25065
2014/10/07,22543
2014/10/08,24408
